Problem Number	Title	Slug	Difficulty	"Tags"
2953	Count Complete Substrings	count-complete-substrings	Hard	"String, Counting"
2956	Find Common Elements Between Two Arrays	find-common-elements-between-two-arrays	Easy	"Array, Hash Table"
2958	Length of Longest Subarray With at Most K Frequency	length-of-longest-subarray-with-at-most-k-frequency	Medium	"Array, Sliding Window"
2961	Double Modular Exponentiation	double-modular-exponentiation	Medium	"Math, Number Theory"
2963	Count the Number of Good Partitions	count-the-number-of-good-partitions	Hard	"String, Dynamic Programming, Counting"
2964	Number of Divisible Triplet Sums	number-of-divisible-triplet-sums	Medium	"Array, Math, Counting"
2967	Minimum Cost to Make Array Equalindromic	minimum-cost-to-make-array-equalindromic	Medium	"Dynamic Programming, Greedy"
2968	Apply Operations to Maximize Frequency Score	apply-operations-to-maximize-frequency-score	Hard	"Array, Greedy, Simulation"
2970	Count the Number of Incremovable Subarrays I	count-the-number-of-incremovable-subarrays-i	Easy	"Array, Sliding Window"
2971	Find Polygon With the Largest Perimeter	find-polygon-with-the-largest-perimeter	Medium	"Math, Geometry, Enumeration"
2972	Count the Number of Incremovable Subarrays II	count-the-number-of-incremovable-subarrays-ii	Hard	"Array, Dynamic Programming, Binary Search"
2973	Find Number of Coins to Place in Tree Nodes	find-number-of-coins-to-place-in-tree-nodes	Hard	"Tree, Depth-First Search, Binary Tree"
2974	Minimum Number Game	minimum-number-game	Easy	"Dynamic Programming, Greedy"
2975	Maximum Square Area by Removing Fences From a Field	maximum-square-area-by-removing-fences-from-a-field	Medium	"Geometry, Simulation"
2976	Minimum Cost to Convert String I	minimum-cost-to-convert-string-i	Medium	"String, Dynamic Programming, Greedy"
2982	Find Longest Special Substring That Occurs Thrice II	find-longest-special-substring-that-occurs-thrice-ii	Medium	"String, Dynamic Programming, String Matching"
2992	Number of Self-Divisible Permutations	number-of-self-divisible-permutations	Medium	"Array, Math, Backtracking, Bit Manipulation"
2997	Minimum Number of Operations to Make Array XOR Equal to K	minimum-number-of-operations-to-make-array-xor-equal-to-k	Medium	"Array, Bit Manipulation, Math"
2999	Count the Number of Powerful Integers	count-the-number-of-powerful-integers	Hard	"Math, Enumeration"
3003	Maximize the Number of Partitions After Operations	maximize-the-number-of-partitions-after-operations	Hard	"Array, Greedy"
3004	Maximum Subtree of the Same Color	maximum-subtree-of-the-same-color	Medium	"Tree, Depth-First Search, Dynamic Programming"
3005	Count Elements With Maximum Frequency	count-elements-with-maximum-frequency	Easy	"Array, Counting"
3006	Find Beautiful Indices in the Given Array I	find-beautiful-indices-in-the-given-array-i	Medium	"Array, Math, Simulation"
3010	Divide an Array Into Subarrays With Minimum Cost I	divide-an-array-into-subarrays-with-minimum-cost-i	Easy	"Dynamic Programming, Array"
3013	Divide an Array Into Subarrays With Minimum Cost II	divide-an-array-into-subarrays-with-minimum-cost-ii	Hard	"Dynamic Programming, Greedy, Array"
3014	Minimum Number of Pushes to Type Word I	minimum-number-of-pushes-to-type-word-i	Easy	"String, Simulation"
3018	Maximum Number of Removal Queries That Can Be Processed I	maximum-number-of-removal-queries-that-can-be-processed-i	Hard	"Union Find, Binary Search, Dynamic Programming"
3019	Number of Changing Keys	number-of-changing-keys	Easy	"Simulation"
3022	Minimize OR of Remaining Elements Using Operations	minimize-or-of-remaining-elements-using-operations	Hard	"Array, Bit Manipulation, Greedy"
3026	Maximum Good Subarray Sum	maximum-good-subarray-sum	Medium	"Array, Dynamic Programming, Sliding Window"
3028	Ant on the Boundary	ant-on-the-boundary	Easy	"Dynamic Programming"
3029	Minimum Time to Revert Word to Initial State I	minimum-time-to-revert-word-to-initial-state-i	Medium	"String, Simulation"
3032	Count Numbers With Unique Digits II	count-numbers-with-unique-digits-ii	Easy	"Enumeration, Math"
3037	Find Pattern in Infinite Stream II	find-pattern-in-infinite-stream-ii	Hard	"String, Simulation"
3038	Maximum Number of Operations With the Same Score I	maximum-number-of-operations-with-the-same-score-i	Easy	"Math, Greedy"
3039	Apply Operations to Make String Empty	apply-operations-to-make-string-empty	Medium	"String, Simulation"
3042	Count Prefix and Suffix Pairs I	count-prefix-and-suffix-pairs-i	Easy	"Array, String, Hash Table, Enumeration"
3043	Find the Length of the Longest Common Prefix	find-the-length-of-the-longest-common-prefix	Medium	"String, Array"
3044	Most Frequent Prime	most-frequent-prime	Medium	"Hash Table, Math"
3047	Find the Largest Area of Square Inside Two Rectangles	find-the-largest-area-of-square-inside-two-rectangles	Medium	"Dynamic Programming, Array"
3048	Earliest Second to Mark Indices I	earliest-second-to-mark-indices-i	Medium	"Array, Simulation"
3049	Earliest Second to Mark Indices II	earliest-second-to-mark-indices-ii	Hard	"Array, Simulation"
3062	Winner of the Linked List Game	winner-of-the-linked-list-game	Easy	"Linked List, Game Theory, Simulation"
3063	Linked List Frequency	linked-list-frequency	Easy	"Linked List, Counting"
3065	Minimum Operations to Exceed Threshold Value I	minimum-operations-to-exceed-threshold-value-i	Easy	"Math, Greedy"
3066	Minimum Operations to Exceed Threshold Value II	minimum-operations-to-exceed-threshold-value-ii	Medium	"Greedy, Array"
3068	Find the Maximum Sum of Node Values	find-the-maximum-sum-of-node-values	Hard	"Binary Tree, Depth-First Search, Tree"
3069	Distribute Elements Into Two Arrays I	distribute-elements-into-two-arrays-i	Easy	"Greedy, Array"
3070	Count Submatrices with Top-Left Element and Sum Less Than k	count-submatrices-with-top-left-element-and-sum-less-than-k	Medium	"Matrix, Dynamic Programming, Counting"
3072	Distribute Elements Into Two Arrays II	distribute-elements-into-two-arrays-ii	Hard	"Dynamic Programming, Greedy"
3073	Maximum Increasing Triplet Value	maximum-increasing-triplet-value	Medium	"Array, Dynamic Programming"
3076	Shortest Uncommon Substring in an Array	shortest-uncommon-substring-in-an-array	Medium	"String, Enumeration"
3078	Match Alphanumerical Pattern in Matrix I	match-alphanumerical-pattern-in-matrix-i	Medium	"Matrix, String"
3083	Existence of a Substring in a String and Its Reverse	existence-of-a-substring-in-a-string-and-its-reverse	Easy	"String, String Matching, Brute Force"
3086	Minimum Moves to Pick K Ones	minimum-moves-to-pick-k-ones	Hard	"Array, Greedy, Sliding Window"
3092	Most Frequent IDs	most-frequent-ids	Medium	"Database, Counting"
3093	Longest Common Suffix Queries	longest-common-suffix-queries	Hard	"Array, String, Trie, String Matching"
3094	Guess the Number Using Bitwise Questions II	guess-the-number-using-bitwise-questions-ii	Medium	"Bit Manipulation, Brainteaser"
3095	Shortest Subarray With OR at Least K I	shortest-subarray-with-or-at-least-k-i	Easy	"Array, Bit Manipulation, Sorting"
3097	Shortest Subarray With OR at Least K II	shortest-subarray-with-or-at-least-k-ii	Medium	"Array, Sliding Window, Bit Manipulation, Dynamic Programming, Prefix Sum"
3098	Find the Sum of Subsequence Powers	find-the-sum-of-subsequence-powers	Hard	"Array, Math, Dynamic Programming"
3104	Find Longest Self-Contained Substring	find-longest-self-contained-substring	Hard	"String, Hash Table, Sliding Window"
3105	Longest Strictly Increasing or Strictly Decreasing Subarray	longest-strictly-increasing-or-strictly-decreasing-subarray	Easy	"Array, Dynamic Programming, Two Pointers"
3108	Minimum Cost Walk in Weighted Graph	minimum-cost-walk-in-weighted-graph	Hard	"Graph, Dynamic Programming, Shortest Path"
3109	Find the Index of Permutation	find-the-index-of-permutation	Medium	"String, Greedy"
3110	Score of a String	score-of-a-string	Easy	"String, Stack, Recursion"
3112	Minimum Time to Visit Disappearing Nodes	minimum-time-to-visit-disappearing-nodes	Medium	"Graph, Simulation"
3113	Find the Number of Subarrays Where Boundary Elements Are Maximum	find-the-number-of-subarrays-where-boundary-elements-are-maximum	Hard	"Array, Math, Enumeration, Two Pointers"
3116	Kth Smallest Amount With Single Denomination Combination	kth-smallest-amount-with-single-denomination-combination	Hard	"Math, Heap (Priority Queue)"
3117	Minimum Sum of Values by Dividing Array	minimum-sum-of-values-by-dividing-array	Hard	"Array, Math, Greedy"
3119	Maximum Number of Potholes That Can Be Fixed	maximum-number-of-potholes-that-can-be-fixed	Medium	"Greedy, Simulation"
3121	Count the Number of Special Characters II	count-the-number-of-special-characters-ii	Medium	"String, Counting, Hash Table"
3123	Find Edges in Shortest Paths	find-edges-in-shortest-paths	Hard	"Graph, Shortest Path"
3129	Find All Possible Stable Binary Arrays I	find-all-possible-stable-binary-arrays-i	Medium	"Array, Backtracking"
3130	Find All Possible Stable Binary Arrays II	find-all-possible-stable-binary-arrays-ii	Hard	"Dynamic Programming, Backtracking, Enumeration"
3131	Find the Integer Added to Array I	find-the-integer-added-to-array-i	Easy	"Array, Math"
3132	Find the Integer Added to Array II	find-the-integer-added-to-array-ii	Medium	"Array, Bit Manipulation"
3133	Minimum Array End	minimum-array-end	Medium	"Array, Greedy"
3134	Find the Median of the Uniqueness Array	find-the-median-of-the-uniqueness-array	Hard	"Array, Sorting, Math"
3138	Minimum Length of Anagram Concatenation	minimum-length-of-anagram-concatenation	Medium	"String, Hash Table, Sliding Window"
3141	Maximum Hamming Distances	maximum-hamming-distances	Hard	"String, Array"
3143	Maximum Points Inside the Square	maximum-points-inside-the-square	Medium	"Array, Math, Geometry"
3144	Minimum Substring Partition of Equal Character Frequency	minimum-substring-partition-of-equal-character-frequency	Medium	"String, Hash Table, Sliding Window"
3146	Permutation Difference between Two Strings	permutation-difference-between-two-strings	Easy	"String, Hash Table"
3149	Find the Minimum Cost Array Permutation	find-the-minimum-cost-array-permutation	Hard	"Array, Dynamic Programming, Greedy"
3153	Sum of Digit Differences of All Pairs	sum-of-digit-differences-of-all-pairs	Medium	"Math, Enumeration"
3155	Maximum Number of Upgradable Servers	maximum-number-of-upgradable-servers	Medium	"Greedy, Sorting"
3158	Find the XOR of Numbers Which Appear Twice	find-the-xor-of-numbers-which-appear-twice	Easy	"Bit Manipulation"
3160	Find the Number of Distinct Colors Among the Balls	find-the-number-of-distinct-colors-among-the-balls	Medium	"Array, Counting"
3162	Find the Number of Good Pairs I	find-the-number-of-good-pairs-i	Easy	"Array, Counting"
3164	Find the Number of Good Pairs II	find-the-number-of-good-pairs-ii	Medium	"Array, Hash Table"
3165	Maximum Sum of Subsequence With Non-adjacent Elements	maximum-sum-of-subsequence-with-non-adjacent-elements	Hard	"Array, Dynamic Programming"
3167	Better Compression of String	better-compression-of-string	Medium	"String"
3169	Count Days Without Meetings	count-days-without-meetings	Medium	"Linked List, Simulation"
3171	Find Subarray With Bitwise OR Closest to K	find-subarray-with-bitwise-or-closest-to-k	Hard	"Array, Bit Manipulation, Sliding Window"
3173	Bitwise OR of Adjacent Elements	bitwise-or-of-adjacent-elements	Easy	"Bit Manipulation, Array"
3174	Clear Digits	clear-digits	Easy	"String, Simulation"
3175	Find The First Player to win K Games in a Row	find-the-first-player-to-win-k-games-in-a-row	Medium	"Array, Simulation"
3177	Find the Maximum Length of a Good Subsequence II	find-the-maximum-length-of-a-good-subsequence-ii	Hard	"Array, Dynamic Programming, Binary Search"
3178	Find the Child Who Has the Ball After K Seconds	find-the-child-who-has-the-ball-after-k-seconds	Easy	"Simulation"
3179	Find the N-th Value After K Seconds	find-the-n-th-value-after-k-seconds	Medium	"Two Pointers, String"
3181	Maximum Total Reward Using Operations II	maximum-total-reward-using-operations-ii	Hard	"Dynamic Programming, Greedy, Math"
3183	The Number of Ways to Make the Sum	the-number-of-ways-to-make-the-sum	Medium	"Math, Counting, Dynamic Programming"
3186	Maximum Total Damage With Spell Casting	maximum-total-damage-with-spell-casting	Medium	"Dynamic Programming"
3187	Peaks in Array	peaks-in-array	Hard	"Array"
3191	Minimum Operations to Make Binary Array Elements Equal to One I	minimum-operations-to-make-binary-array-elements-equal-to-one-i	Medium	"Array, Greedy"
3193	Count the Number of Inversions	count-the-number-of-inversions	Hard	"Array, Binary Indexed Tree, Divide and Conquer, Segment Tree, Binary Search Tree"
3195	Find the Minimum Area to Cover All Ones I	find-the-minimum-area-to-cover-all-ones-i	Medium	"Matrix, Simulation"
3200	Maximum Height of a Triangle	maximum-height-of-a-triangle	Easy	"Geometry, Math"
3202	Find the Maximum Length of Valid Subsequence II	find-the-maximum-length-of-valid-subsequence-ii	Medium	"Dynamic Programming, Array, Greedy"
3203	Find Minimum Diameter After Merging Two Trees	find-minimum-diameter-after-merging-two-trees	Hard	"Tree, Minimum Spanning Tree, Depth-First Search"
3205	Maximum Array Hopping Score I	maximum-array-hopping-score-i	Medium	"Array, Dynamic Programming, Greedy"
3206	Alternating Groups I	alternating-groups-i	Easy	"Array, Simulation"
3208	Alternating Groups II	alternating-groups-ii	Medium	"Array, Simulation"
3211	Generate Binary Strings Without Adjacent Zeros	generate-binary-strings-without-adjacent-zeros	Medium	"String, Backtracking"
3212	Count Submatrices With Equal Frequency of X and Y	count-submatrices-with-equal-frequency-of-x-and-y	Medium	"Matrix, Enumeration, Array"
3213	Construct String with Minimum Cost	construct-string-with-minimum-cost	Hard	"String, Greedy"
3215	Count Triplets with Even XOR Set Bits II	count-triplets-with-even-xor-set-bits-ii	Medium	"Bit Manipulation, Counting"
3216	Lexicographically Smallest String After a Swap	lexicographically-smallest-string-after-a-swap	Easy	"String, Greedy, Sorting"
3218	Minimum Cost for Cutting Cake I	minimum-cost-for-cutting-cake-i	Medium	"Dynamic Programming, Greedy"
3219	Minimum Cost for Cutting Cake II	minimum-cost-for-cutting-cake-ii	Hard	"Dynamic Programming, Greedy"
3223	Minimum Length of String After Operations	minimum-length-of-string-after-operations	Medium	"String, Simulation"
3224	Minimum Array Changes to Make Differences Equal	minimum-array-changes-to-make-differences-equal	Medium	"Array, Math, Greedy"
3225	Maximum Score From Grid Operations	maximum-score-from-grid-operations	Hard	"Array, Dynamic Programming, Matrix, Memoization, Greedy"
3226	Number of Bit Changes to Make Two Integers Equal	number-of-bit-changes-to-make-two-integers-equal	Easy	"Bit Manipulation"
3229	Minimum Operations to Make Array Equal to Target	minimum-operations-to-make-array-equal-to-target	Hard	"Math, Greedy"
3231	Minimum Number of Increasing Subsequence to Be Removed	minimum-number-of-increasing-subsequence-to-be-removed	Hard	"Dynamic Programming, Greedy, Array"
3233	Find the Count of Numbers Which Are Not Special	find-the-count-of-numbers-which-are-not-special	Medium	"Math, Enumeration, Counting"
3234	Count the Number of Substrings With Dominant Ones	count-the-number-of-substrings-with-dominant-ones	Medium	"String, Counting, Sliding Window"
3237	Alt and Tab Simulation	alt-and-tab-simulation	Medium	"Simulation, Design, Array"
3239	Minimum Number of Flips to Make Binary Grid Palindromic I	minimum-number-of-flips-to-make-binary-grid-palindromic-i	Medium	"Dynamic Programming, Bit Manipulation, Matrix"
3240	Minimum Number of Flips to Make Binary Grid Palindromic II	minimum-number-of-flips-to-make-binary-grid-palindromic-ii	Medium	"Binary, Matrix, Greedy"
3247	Number of Subsequences with Odd Sum	number-of-subsequences-with-odd-sum	Medium	"Array, Math, Binary Search"
3248	Snake in Matrix	snake-in-matrix	Easy	"Design, Matrix, Simulation"
3249	Count the Number of Good Nodes	count-the-number-of-good-nodes	Medium	"Tree, Depth-First Search, Binary Tree"
3253	Construct String with Minimum Cost (Easy)	construct-string-with-minimum-cost-easy	Medium	"String, Greedy"
3256	Maximum Value Sum by Placing Three Rooks I	maximum-value-sum-by-placing-three-rooks-i	Hard	"Array, Greedy, Matrix"
3257	Maximum Value Sum by Placing Three Rooks II	maximum-value-sum-by-placing-three-rooks-ii	Hard	"Matrix, Backtracking, Simulation"
3258	Count Substrings That Satisfy K-Constraint I	count-substrings-that-satisfy-k-constraint-i	Easy	"String, Counting, Sliding Window"
3261	Count Substrings That Satisfy K-Constraint II	count-substrings-that-satisfy-k-constraint-ii	Hard	"String, Counting, Sliding Window"
3263	Convert Doubly Linked List to Array I	convert-doubly-linked-list-to-array-i	Easy	"Doubly-Linked List, Array"
3264	Final Array State After K Multiplication Operations I	final-array-state-after-k-multiplication-operations-i	Easy	"Array, Math"
3265	Count Almost Equal Pairs I	count-almost-equal-pairs-i	Medium	"Array, Hash Table, Counting"
3266	Final Array State After K Multiplication Operations II	final-array-state-after-k-multiplication-operations-ii	Hard	"Array, Math, Simulation"
3269	Constructing Two Increasing Arrays	constructing-two-increasing-arrays	Hard	"Array, Greedy"
3272	Find the Count of Good Integers	find-the-count-of-good-integers	Hard	"Counting, Math"
3273	Minimum Amount of Damage Dealt to Bob	minimum-amount-of-damage-dealt-to-bob	Hard	"Array, Math"
3275	K-th Nearest Obstacle Queries	k-th-nearest-obstacle-queries	Medium	"Sorting, Geometry, Binary Search, Data Stream"
3276	Select Cells in Grid With Maximum Score	select-cells-in-grid-with-maximum-score	Hard	"Array, Matrix, Greedy"
3277	Maximum XOR Score Subarray Queries	maximum-xor-score-subarray-queries	Hard	"Array, Bit Manipulation, Dynamic Programming"
3280	Convert Date to Binary	convert-date-to-binary	Easy	"String, Bit Manipulation"
3287	Find the Maximum Sequence Value of Array	find-the-maximum-sequence-value-of-array	Hard	"Array, Dynamic Programming"
3288	Length of the Longest Increasing Path	length-of-the-longest-increasing-path	Hard	"Matrix, Depth-First Search, Dynamic Programming"
3289	The Two Sneaky Numbers of Digitville	the-two-sneaky-numbers-of-digitville	Easy	"Math, Brainteaser"
3292	Minimum Number of Valid Strings to Form Target II	minimum-number-of-valid-strings-to-form-target-ii	Hard	"Dynamic Programming, Greedy, String"
3294	Convert Doubly Linked List to Array II	convert-doubly-linked-list-to-array-ii	Medium	"Doubly-Linked List, Array"
3295	Report Spam Message	report-spam-message	Medium	"String, Hash Table, Simulation"
3296	Minimum Number of Seconds to Make Mountain Height Zero	minimum-number-of-seconds-to-make-mountain-height-zero	Medium	"Greedy, Array"
3298	Count Substrings That Can Be Rearranged to Contain a String II	count-substrings-that-can-be-rearranged-to-contain-a-string-ii	Hard	"String, Sliding Window, Hash Table"
3301	Maximize the Total Height of Unique Towers	maximize-the-total-height-of-unique-towers	Medium	"Greedy, Dynamic Programming"
3304	Find the K-th Character in String Game I	find-the-k-th-character-in-string-game-i	Easy	"String, Game Theory"
3309	Maximum Possible Number by Binary Concatenation	maximum-possible-number-by-binary-concatenation	Medium	"Array, Math, Sorting, Greedy"
3311	Construct 2D Grid Matching Graph Layout	construct-2d-grid-matching-graph-layout	Hard	"Graph, Simulation"
3314	Construct the Minimum Bitwise Array I	construct-the-minimum-bitwise-array-i	Easy	"Bit Manipulation"
3315	Construct the Minimum Bitwise Array II	construct-the-minimum-bitwise-array-ii	Medium	"Array, Greedy, Bit Manipulation, Dynamic Programming"
3320	Count The Number of Winning Sequences	count-the-number-of-winning-sequences	Hard	"Combinatorics, Dynamic Programming, Enumeration"
3325	Count Substrings With K-Frequency Characters I	count-substrings-with-k-frequency-characters-i	Medium	"String, Sliding Window, Counting"
3326	Minimum Division Operations to Make Array Non Decreasing	minimum-division-operations-to-make-array-non-decreasing	Medium	"Array, Greedy, Dynamic Programming"
3327	Check if DFS Strings Are Palindromes	check-if-dfs-strings-are-palindromes	Hard	"String, Depth-First Search, Palindrome"
3332	Maximum Points Tourist Can Earn	maximum-points-tourist-can-earn	Medium	"Dynamic Programming, Greedy, Array"
3335	Total Characters in String After Transformations I	total-characters-in-string-after-transformations-i	Medium	"String"
3337	Total Characters in String After Transformations II	total-characters-in-string-after-transformations-ii	Hard	"String"
3339	Find the Number of K-Even Arrays	find-the-number-of-k-even-arrays	Medium	"Counting, Math, Dynamic Programming"
3341	Find Minimum Time to Reach Last Room I	find-minimum-time-to-reach-last-room-i	Medium	"Graph, Dynamic Programming"
3342	Find Minimum Time to Reach Last Room II	find-minimum-time-to-reach-last-room-ii	Medium	"Graph, Breadth-First Search, Dynamic Programming"
3344	Maximum Sized Array	maximum-sized-array	Medium	"Array, Greedy"
3346	Maximum Frequency of an Element After Performing Operations I	maximum-frequency-of-an-element-after-performing-operations-i	Medium	"Array, Math, Simulation"
3349	Adjacent Increasing Subarrays Detection I	adjacent-increasing-subarrays-detection-i	Easy	"Array, Two Pointers, Sliding Window"
3352	Count K-Reducible Numbers Less Than N	count-k-reducible-numbers-less-than-n	Hard	"Counting, Math, Dynamic Programming"
3357	Minimize the Maximum Adjacent Element Difference	minimize-the-maximum-adjacent-element-difference	Hard	"Array, Greedy"
3362	Zero Array Transformation III	zero-array-transformation-iii	Medium	"Array, Simulation, Greedy"
3363	Find the Maximum Number of Fruits Collected	find-the-maximum-number-of-fruits-collected	Hard	"Greedy, Sliding Window, Array"
3364	Minimum Positive Sum Subarray 	minimum-positive-sum-subarray	Easy	"Array, Dynamic Programming, Sliding Window"
3372	Maximize the Number of Target Nodes After Connecting Trees I	maximize-the-number-of-target-nodes-after-connecting-trees-i	Medium	"Graph, Tree, Simulation"
3370	Smallest Number With All Set Bits	smallest-number-with-all-set-bits	Easy	"Math, Bit Manipulation"
3367	Maximize Sum of Weights after Edge Removals	maximize-sum-of-weights-after-edge-removals	Hard	"Graph, Dynamic Programming, Greedy"
3366	Minimum Array Sum	minimum-array-sum	Medium	"Array, Greedy, Dynamic Programming"
3359	Find Sorted Submatrices With Maximum Element at Most K	find-sorted-submatrices-with-maximum-element-at-most-k	Hard	"Matrix, Sliding Window, Array"
3351	Sum of Good Subsequences	sum-of-good-subsequences	Hard	"Array, Dynamic Programming, Math"
3373	Maximize the Number of Target Nodes After Connecting Trees II	maximize-the-number-of-target-nodes-after-connecting-trees-ii	Hard	"Graph, Tree, Greedy"
3356	Zero Array Transformation II	zero-array-transformation-ii	Medium	"Array, Dynamic Programming, Simulation"
3347	Maximum Frequency of an Element After Performing Operations II	maximum-frequency-of-an-element-after-performing-operations-ii	Hard	"Array, Hash Table, Sliding Window"
3355	Zero Array Transformation I	zero-array-transformation-i	Medium	"Array, Math, Greedy"
3343	Count Number of Balanced Permutations	count-number-of-balanced-permutations	Hard	"Counting, Combinatorics"
3340	Check Balanced String	check-balanced-string	Easy	"String, Counting"
3348	Smallest Divisible Digit Product II	smallest-divisible-digit-product-ii	Hard	"Math, Enumeration, Number Theory"
3345	Smallest Divisible Digit Product I	smallest-divisible-digit-product-i	Easy	"Math, Enumeration"
3360	Stone Removal Game	stone-removal-game	Easy	"Array, Dynamic Programming, Math"
3299	Sum of Consecutive Subsequences	sum-of-consecutive-subsequences	Hard	"Array, Math, Prefix Sum"
3350	Adjacent Increasing Subarrays Detection II	adjacent-increasing-subarrays-detection-ii	Medium	"Array, Two Pointers, Enumeration"
3333	Find the Original Typed String II	find-the-original-typed-string-ii	Hard	"String, Hash Table, Simulation"
3330	Find the Original Typed String I	find-the-original-typed-string-i	Easy	"Math, Sorting"
3318	Find X-Sum of All K-Long Subarrays I	find-x-sum-of-all-k-long-subarrays-i	Easy	"Array, Sliding Window"
3336	Find the Number of Subsequences With Equal GCD	find-the-number-of-subsequences-with-equal-gcd	Hard	"Math, Counting"
3300	Minimum Element After Replacement With Digit Sum	minimum-element-after-replacement-with-digit-sum	Easy	"Math, Simulation"
3284	Sum of Consecutive Subarrays	sum-of-consecutive-subarrays	Medium	"Array, Prefix Sum, Sliding Window"
3307	Find the K-th Character in String Game II	find-the-k-th-character-in-string-game-ii	Hard	"String, Simulation"
3365	Rearrange K Substrings to Form Target String	rearrange-k-substrings-to-form-target-string	Medium	"String, Hash Table, Backtracking"
3371	Identify the Largest Outlier in an Array	identify-the-largest-outlier-in-an-array	Medium	"Array, Math"
3334	Find the Maximum Factor Score of Array	find-the-maximum-factor-score-of-array	Medium	"Array, Math"
3321	Find X-Sum of All K-Long Subarrays II	find-x-sum-of-all-k-long-subarrays-ii	Hard	"Array, Sliding Window, Prefix Sum"
3361	Shift Distance Between Two Strings	shift-distance-between-two-strings	Medium	"String, Brainteaser"
3279	Maximum Total Area Occupied by Pistons	maximum-total-area-occupied-by-pistons	Hard	"Math, Simulation"
3302	Find the Lexicographically Smallest Valid Sequence	find-the-lexicographically-smallest-valid-sequence	Medium	"Array, Backtracking, String"
3312	Sorted GCD Pair Queries	sorted-gcd-pair-queries	Hard	"Tree, Depth-First Search, Bit Manipulation, Hash Table"
3285	Find Indices of Stable Mountains	find-indices-of-stable-mountains	Easy	"Array, Simulation"
3303	Find the Occurrence of First Almost Equal Substring	find-the-occurrence-of-first-almost-equal-substring	Hard	"String, Enumeration"
3331	Find Subtree Sizes After Changes	find-subtree-sizes-after-changes	Medium	"Tree, Dynamic Programming, Binary Tree"
3297	Count Substrings That Can Be Rearranged to Contain a String I	count-substrings-that-can-be-rearranged-to-contain-a-string-i	Medium	"String, Hash Table, Sliding Window"
3305	Count of Substrings Containing Every Vowel and K Consonants I	count-of-substrings-containing-every-vowel-and-k-consonants-i	Medium	"String, Sliding Window, Hash Table, Counting"
3306	Count of Substrings Containing Every Vowel and K Consonants II	count-of-substrings-containing-every-vowel-and-k-consonants-ii	Medium	"String, Counting, Sliding Window"
3270	Find the Key of the Numbers	find-the-key-of-the-numbers	Easy	"Array, Hash Table, String"
3324	Find the Sequence of Strings Appeared on the Screen	find-the-sequence-of-strings-appeared-on-the-screen	Medium	"String, Hash Table"
3323	Minimize Connected Groups by Inserting Interval	minimize-connected-groups-by-inserting-interval	Medium	"Greedy, Union Find, Sorting"
3310	Remove Methods From Project	remove-methods-from-project	Medium	"Design, Simulation"
3283	Maximum Number of Moves to Kill All Pawns	maximum-number-of-moves-to-kill-all-pawns	Hard	"Greedy, Simulation"
3291	Minimum Number of Valid Strings to Form Target I	minimum-number-of-valid-strings-to-form-target-i	Medium	"Dynamic Programming, String, Greedy"
3286	Find a Safe Walk Through a Grid	find-a-safe-walk-through-a-grid	Medium	"Array, Backtracking, Matrix, Depth-First Search"
3260	Find the Largest Palindrome Divisible by K	find-the-largest-palindrome-divisible-by-k	Hard	"Math, String, Enumeration"
3267	Count Almost Equal Pairs II	count-almost-equal-pairs-ii	Hard	"Array, Math, Enumeration"
3271	Hash Divided String	hash-divided-string	Medium	"String, Hash Table"
3251	Find the Count of Monotonic Pairs II	find-the-count-of-monotonic-pairs-ii	Hard	"Array, Counting, Two Pointers"
3241	Time Taken to Mark All Nodes	time-taken-to-mark-all-nodes	Hard	"Graph, Breadth-First Search, Depth-First Search"
3221	Maximum Array Hopping Score II	maximum-array-hopping-score-ii	Medium	"Array, Dynamic Programming"
3282	Reach End of Array With Max Score	reach-end-of-array-with-max-score	Medium	"Array, Greedy, Dynamic Programming"
3245	Alternating Groups III	alternating-groups-iii	Hard	"Greedy, Sorting"
3259	Maximum Energy Boost From Two Drinks	maximum-energy-boost-from-two-drinks	Medium	"Greedy, Math"
3255	Find the Power of K-Size Subarrays II	find-the-power-of-k-size-subarrays-ii	Medium	"Array, Sliding Window"
3254	Find the Power of K-Size Subarrays I	find-the-power-of-k-size-subarrays-i	Medium	"Array, Sliding Window"
3238	Find the Number of Winning Players	find-the-number-of-winning-players	Easy	"Counting, Array"
3290	Maximum Multiplication Score	maximum-multiplication-score	Medium	"Array, Math, Dynamic Programming, Greedy"
3243	Shortest Distance After Road Addition Queries I	shortest-distance-after-road-addition-queries-i	Medium	"Graph, Shortest Path"
3242	Design Neighbor Sum Service	design-neighbor-sum-service	Easy	"Design, Matrix"
3232	Find if Digit Game Can Be Won	find-if-digit-game-can-be-won	Easy	"Game Theory, Math"
3244	Shortest Distance After Road Addition Queries II	shortest-distance-after-road-addition-queries-ii	Hard	"Graph, Shortest Path, Interactive"
3222	Find the Winning Player in Coin Game	find-the-winning-player-in-coin-game	Easy	"Game Theory, Dynamic Programming"
3319	K-th Largest Perfect Subtree Size in Binary Tree	k-th-largest-perfect-subtree-size-in-binary-tree	Medium	"Binary Tree, Sorting"
3199	Count Triplets with Even XOR Set Bits I	count-triplets-with-even-xor-set-bits-i	Easy	"Array, Bit Manipulation, Math"
3189	Minimum Moves to Get a Peaceful Board	minimum-moves-to-get-a-peaceful-board	Medium	"Dynamic Programming, Greedy"
3217	Delete Nodes From Linked List Present in Array	delete-nodes-from-linked-list-present-in-array	Medium	"Linked List, Hash Table, Simulation"
